105,709,184,181,-1
410,709,184,181,-1
655,709,184,181,-1
900,709,184,181,-1
1145,709,184,181,-1
1391,709,184,181,-1
1636,709,184,181,-1
1881,709,184,181,-1
2126,709,184,181,-1
2371,709,184,181,-1
2617,709,184,181,-1
2862,709,184,181,-1
3107,709,184,181,-1
3352,709,184,181,-1
3598,709,184,181,-1
105,940,184,181,-1
410,940,184,181,-1
646,940,184,181,-1
883,940,184,181,-1
1119,940,184,181,-1
1356,940,184,181,-1
1592,940,184,181,-1
1829,940,184,181,-1
2065,940,184,181,-1
2302,940,184,181,-1
2538,940,184,181,-1
2775,940,184,181,-1
3011,940,184,181,-1
3248,940,184,181,-1
3495,940,279,181,-1
105,1182,184,181,-1
410,1182,266,181,-1
763,1182,184,181,99
1000,1182,184,181,100
1236,1182,184,181,101
1473,1182,184,181,102
1709,1182,184,181,-1
1946,1182,184,181,-1
2182,1182,184,181,-1
2419,1182,184,181,-1
2655,1182,184,181,-1
2892,1182,184,181,-1
3128,1182,184,181,-1
3365,1182,184,181,-1
3601,1182,184,181,-1
105,1423,184,181,-1
410,1423,303,181,-1
850,1423,184,181,-1
1087,1423,184,181,-1
1323,1423,184,181,-1
1560,1423,184,181,-1
1796,1423,184,181,-1
2033,1423,184,181,-1
2269,1423,184,181,-1
2506,1423,184,181,-1
2742,1423,184,181,-1
2979,1423,184,181,-1
3215,1423,184,181,-1
3483,1423,299,181,-1
105,1673,184,181,-1
410,1673,266,181,-1
763,1673,184,181,-1
1000,1673,184,181,-1
1236,1673,184,181,-1
1473,1673,184,181,-1
1709,1673,184,181,-1
1946,1673,184,181,-1
2182,1673,184,181,-1
2419,1673,184,181,-1
2655,1673,184,181,-1
2892,1673,184,181,-1
3128,1673,184,181,-1
3365,1673,184,181,-1
3601,1673,184,181,-1
105,1915,184,181,-1
410,1915,184,181,-1
646,1915,184,181,-1
883,1915,184,181,-1
1119,1915,184,181,-1
1366,1915,1230,181,-1
2660,1915,184,181,-1
2897,1915,184,181,-1
3133,1915,184,181,-1
3370,1915,184,181,-1
3606,1915,184,181,-1
