105,709,184,181
410,709,184,181
655,709,184,181
900,709,184,181
1145,709,184,181
1391,709,184,181
1636,709,184,181
1881,709,184,181
2126,709,184,181
2371,709,184,181
2617,709,184,181
2862,709,184,181
3107,709,184,181
3352,709,184,181
3598,709,184,181
105,940,184,181
410,940,184,181
646,940,184,181
883,940,184,181
1119,940,184,181
1356,940,184,181
1592,940,184,181
1829,940,184,181
2065,940,184,181
2302,940,184,181
2538,940,184,181
2775,940,184,181
3011,940,184,181
3248,940,184,181
3495,940,279,181
105,1182,184,181
410,1182,266,181
763,1182,184,181
1000,1182,184,181
1236,1182,184,181
1473,1182,184,181
1709,1182,184,181
1946,1182,184,181
2182,1182,184,181
2419,1182,184,181
2655,1182,184,181
2892,1182,184,181
3128,1182,184,181
3365,1182,184,181
3601,1182,184,181
105,1423,184,181
410,1423,303,181
850,1423,184,181
1087,1423,184,181
1323,1423,184,181
1560,1423,184,181
1796,1423,184,181
2033,1423,184,181
2269,1423,184,181
2506,1423,184,181
2742,1423,184,181
2979,1423,184,181
3215,1423,184,181
3483,1423,299,181
105,1673,184,181
410,1673,266,181
763,1673,184,181
1000,1673,184,181
1236,1673,184,181
1473,1673,184,181
1709,1673,184,181
1946,1673,184,181
2182,1673,184,181
2419,1673,184,181
2655,1673,184,181
2892,1673,184,181
3128,1673,184,181
3365,1673,184,181
3601,1673,184,181
105,1915,184,181
410,1915,184,181
646,1915,184,181
883,1915,184,181
1119,1915,184,181
1366,1915,1230,181
2660,1915,184,181
2897,1915,184,181
3133,1915,184,181
3370,1915,184,181
3606,1915,184,181
