108,733,186,186,-1
419,733,186,186,-1
669,733,186,186,-1
918,733,186,186,-1
1168,733,186,186,-1
1417,733,186,186,-1
1666,733,186,186,-1
1916,733,186,186,-1
2165,733,186,186,-1
2415,733,186,186,-1
2664,733,186,186,-1
2914,733,186,186,-1
3163,733,186,186,-1
3413,733,186,186,-1
3662,733,186,186,-1
108,971,186,186,-1
419,971,186,186,-1
660,971,186,186,-1
900,971,186,186,-1
1141,971,186,186,-1
1381,971,186,186,-1
1621,971,186,186,-1
1862,971,186,186,-1
2102,971,186,186,-1
2343,971,186,186,-1
2583,971,186,186,-1
2824,971,186,186,-1
3064,971,186,186,-1
3305,971,186,186,-1
3556,971,283,186,-1
108,1220,186,186,-1
419,1220,270,186,-1
779,1220,186,186,99
1019,1220,186,186,100
1260,1220,186,186,101
1500,1220,186,186,102
1741,1220,186,186,-1
1981,1220,186,186,-1
2222,1220,186,186,-1
2462,1220,186,186,-1
2702,1220,186,186,-1
2943,1220,186,186,-1
3183,1220,186,186,-1
3424,1220,186,186,-1
3664,1220,186,186,-1
108,1469,186,186,-1
419,1469,307,186,-1
868,1469,186,186,-1
1108,1469,186,186,-1
1349,1469,186,186,-1
1589,1469,186,186,-1
1830,1469,186,186,-1
2070,1469,186,186,-1
2310,1469,186,186,-1
2551,1469,186,186,-1
2791,1469,186,186,-1
3032,1469,186,186,-1
3272,1469,186,186,-1
3545,1469,303,186,-1
108,1727,186,186,-1
419,1727,270,186,-1
779,1727,186,186,-1
1019,1727,186,186,-1
1260,1727,186,186,-1
1500,1727,186,186,-1
1741,1727,186,186,-1
1981,1727,186,186,-1
2222,1727,186,186,-1
2462,1727,186,186,-1
2702,1727,186,186,-1
2943,1727,186,186,-1
3183,1727,186,186,-1
3424,1727,186,186,-1
3664,1727,186,186,-1
108,1976,186,186,-1
419,1976,186,186,-1
660,1976,186,186,-1
900,1976,186,186,-1
1141,1976,186,186,-1
1392,1976,1246,186,-1
2704,1976,186,186,-1
2944,1976,186,186,-1
3184,1976,186,186,-1
3425,1976,186,186,-1
3665,1976,186,186,-1
