33,32,107,107
213,32,107,107
356,32,107,107
500,32,107,107
643,32,107,107
787,32,107,107
930,32,107,107
1074,32,107,107
1217,32,107,107
1361,32,107,107
1504,32,107,107
1648,32,107,107
1791,32,107,107
1935,32,107,107
2078,32,107,107
33,169,107,107
203,169,107,107
341,169,107,107
479,169,107,107
618,169,107,107
756,169,107,107
894,169,107,107
1032,169,107,107
1171,169,107,107
1309,169,107,107
1447,169,107,107
1586,169,107,107
1724,169,107,107
1862,169,107,107
2007,169,163,107
33,312,155,107
291,312,155,107
498,312,107,107
637,312,107,107
775,312,107,107
913,312,107,107
1051,312,107,107
1190,312,107,107
1328,312,107,107
1466,312,107,107
1605,312,107,107
1743,312,107,107
1881,312,107,107
2020,312,107,107
2158,312,107,107
33,455,177,107
372,455,177,107
630,455,107,107
769,455,107,107
907,455,107,107
1045,455,107,107
1183,455,107,107
1322,455,107,107
1460,455,107,107
1598,455,107,107
1737,455,107,107
1875,455,107,107
2013,455,107,107
2170,455,174,107
33,603,155,107
291,603,155,107
498,603,107,107
637,603,107,107
775,603,107,107
913,603,107,107
1051,603,107,107
1190,603,107,107
1328,603,107,107
1466,603,107,107
1605,603,107,107
1743,603,107,107
1881,603,107,107
2020,603,107,107
2158,603,107,107
33,746,107,107
203,746,107,107
341,746,107,107
479,746,107,107
618,746,107,107
762,746,717,107
1517,746,107,107
1655,746,107,107
1793,746,107,107
1931,746,107,107
2070,746,107,107
